,Unnamed: 0,ba-m,simple-spread-chance,cit-cit--influence,cit-media-influence,peak-time,bucket
0,0,3,0.05,0.05,0.25,83.0,80
1,1,3,0.05,0.05,0.5,81.0,80
2,2,3,0.05,0.05,0.75,81.0,80
3,3,3,0.05,0.1,0.25,82.5,80
4,4,3,0.05,0.1,0.5,77.0,70
5,5,3,0.05,0.1,0.75,65.5,60
6,6,3,0.05,0.25,0.1,80.5,80
7,7,3,0.05,0.25,0.25,75.0,70
8,8,3,0.05,0.25,0.5,60.0,60
9,9,3,0.05,0.25,0.75,42.0,40
10,10,3,0.05,0.5,0.01,65.0,60
11,11,3,0.05,0.5,0.05,68.0,60
12,12,3,0.05,0.5,0.1,59.0,50
13,13,3,0.05,0.5,0.25,48.0,40
14,14,3,0.05,0.5,0.5,38.0,30
15,15,3,0.05,0.5,0.75,30.5,30
16,16,3,0.05,0.75,0.01,51.0,50
17,17,3,0.05,0.75,0.05,51.0,50
18,18,3,0.05,0.75,0.1,47.0,40
19,19,3,0.05,0.75,0.25,35.0,30
20,20,3,0.05,0.75,0.5,38.0,30
21,21,3,0.05,0.75,0.75,29.0,20
22,22,3,0.1,0.01,0.25,65.0,60
23,23,3,0.1,0.01,0.5,71.0,70
24,24,3,0.1,0.01,0.75,56.5,50
25,25,3,0.1,0.05,0.1,79.5,70
26,26,3,0.1,0.05,0.25,66.0,60
27,27,3,0.1,0.05,0.5,51.0,50
28,28,3,0.1,0.05,0.75,46.5,40
29,29,3,0.1,0.1,0.05,77.5,70
30,30,3,0.1,0.1,0.1,73.0,70
31,31,3,0.1,0.1,0.25,54.0,50
32,32,3,0.1,0.1,0.5,38.0,30
33,33,3,0.1,0.1,0.75,36.0,30
34,34,3,0.1,0.25,0.01,66.5,60
35,35,3,0.1,0.25,0.05,45.0,40
36,36,3,0.1,0.25,0.1,43.5,40
37,37,3,0.1,0.25,0.25,32.0,30
38,38,3,0.1,0.25,0.5,29.0,20
39,39,3,0.1,0.25,0.75,25.0,20
40,40,3,0.1,0.5,0.01,51.5,50
41,41,3,0.1,0.5,0.05,29.0,20
42,42,3,0.1,0.5,0.1,30.0,30
43,43,3,0.1,0.5,0.25,27.0,20
44,44,3,0.1,0.5,0.5,21.0,20
45,45,3,0.1,0.5,0.75,18.0,10
46,46,3,0.1,0.75,0.01,30.0,30
47,47,3,0.1,0.75,0.05,23.0,20
48,48,3,0.1,0.75,0.1,25.0,20
49,49,3,0.1,0.75,0.25,23.0,20
50,50,3,0.1,0.75,0.5,20.0,20
51,51,3,0.1,0.75,0.75,17.0,10
52,52,3,0.25,0.01,0.05,74.0,70
53,53,3,0.25,0.01,0.1,63.0,60
54,54,3,0.25,0.01,0.25,50.0,50
55,55,3,0.25,0.01,0.5,43.0,40
56,56,3,0.25,0.01,0.75,41.5,40
