,ba-m,simple-spread-chance,citizen-citizen-influence,citizen-media-influence,peak-time
0,3,0.05,0.25,0.75,43.0
1,3,0.05,0.5,0.5,46.0
2,3,0.05,0.5,0.75,42.0
3,3,0.05,0.75,0.25,39.0
4,3,0.05,0.75,0.5,34.0
5,3,0.05,0.75,0.75,26.0
6,3,0.1,0.05,0.5,63.0
7,3,0.1,0.05,0.75,41.0
8,3,0.1,0.1,0.25,41.0
9,3,0.1,0.1,0.5,41.0
10,3,0.1,0.1,0.75,37.0
11,3,0.1,0.25,0.25,34.0
12,3,0.1,0.25,0.5,26.0
13,3,0.1,0.25,0.75,23.0
14,3,0.1,0.5,0.1,33.0
15,3,0.1,0.5,0.25,25.0
16,3,0.1,0.5,0.5,20.0
17,3,0.1,0.5,0.75,19.0
18,3,0.1,0.75,0.1,19.0
19,3,0.1,0.75,0.25,20.0
20,3,0.1,0.75,0.5,17.0
21,3,0.1,0.75,0.75,18.0
22,3,0.25,0.01,0.25,32.0
23,3,0.25,0.01,0.5,26.0
24,3,0.25,0.01,0.75,27.0
25,3,0.25,0.05,0.1,31.0
26,3,0.25,0.05,0.25,31.0
27,3,0.25,0.05,0.5,16.0
28,3,0.25,0.05,0.75,16.0
29,3,0.25,0.1,0.05,24.0
30,3,0.25,0.1,0.1,26.0
31,3,0.25,0.1,0.25,21.0
32,3,0.25,0.1,0.5,16.0
33,3,0.25,0.1,0.75,14.0
34,3,0.25,0.25,0.05,22.0
35,3,0.25,0.25,0.1,18.0
36,3,0.25,0.25,0.25,15.0
37,3,0.25,0.25,0.5,13.0
38,3,0.25,0.25,0.75,10.0
39,3,0.25,0.5,0.05,12.0
40,3,0.25,0.5,0.1,16.0
41,3,0.25,0.5,0.25,10.0
42,3,0.25,0.5,0.5,10.0
43,3,0.25,0.5,0.75,10.0
44,3,0.25,0.75,0.05,10.0
45,3,0.25,0.75,0.1,10.0
46,3,0.25,0.75,0.25,9.0
47,3,0.25,0.75,0.5,8.0
48,3,0.25,0.75,0.75,8.0
49,3,0.5,0.01,0.05,50.0
50,3,0.5,0.01,0.1,22.0
51,3,0.5,0.01,0.25,22.0
52,3,0.5,0.01,0.5,14.0
53,3,0.5,0.01,0.75,15.0
54,3,0.5,0.05,0.05,24.0
55,3,0.5,0.05,0.1,17.0
56,3,0.5,0.05,0.25,17.0
57,3,0.5,0.05,0.5,13.0
58,3,0.5,0.05,0.75,10.0
59,3,0.5,0.1,0.05,18.0
60,3,0.5,0.1,0.1,14.0
61,3,0.5,0.1,0.25,12.0
62,3,0.5,0.1,0.5,10.0
63,3,0.5,0.1,0.75,9.0
64,3,0.5,0.25,0.05,12.0
65,3,0.5,0.25,0.1,11.0
66,3,0.5,0.25,0.25,9.0
67,3,0.5,0.25,0.5,8.0
68,3,0.5,0.25,0.75,7.0
69,3,0.5,0.5,0.05,8.0
70,3,0.5,0.5,0.1,8.0
71,3,0.5,0.5,0.25,7.0
72,3,0.5,0.5,0.5,6.0
73,3,0.5,0.5,0.75,6.0
74,3,0.5,0.75,0.05,7.0
75,3,0.5,0.75,0.1,7.0
76,3,0.5,0.75,0.25,5.0
77,3,0.5,0.75,0.5,5.0
78,3,0.5,0.75,0.75,5.0
79,3,0.75,0.01,0.05,25.0
80,3,0.75,0.01,0.1,16.0
81,3,0.75,0.01,0.25,17.0
82,3,0.75,0.01,0.5,12.0
83,3,0.75,0.01,0.75,9.0
84,3,0.75,0.05,0.05,14.0
85,3,0.75,0.05,0.1,12.0
86,3,0.75,0.05,0.25,8.0
87,3,0.75,0.05,0.5,8.0
88,3,0.75,0.05,0.75,7.0
89,3,0.75,0.1,0.01,21.0
90,3,0.75,0.1,0.05,12.0
91,3,0.75,0.1,0.1,10.0
92,3,0.75,0.1,0.25,8.0
93,3,0.75,0.1,0.5,7.0
94,3,0.75,0.1,0.75,6.0
95,3,0.75,0.25,0.01,11.0
96,3,0.75,0.25,0.05,10.0
97,3,0.75,0.25,0.1,8.0
98,3,0.75,0.25,0.25,7.0
99,3,0.75,0.25,0.5,6.0
100,3,0.75,0.25,0.75,5.0
101,3,0.75,0.5,0.01,6.0
102,3,0.75,0.5,0.05,6.0
103,3,0.75,0.5,0.1,6.0
104,3,0.75,0.5,0.25,5.0
105,3,0.75,0.5,0.5,5.0
106,3,0.75,0.5,0.75,5.0
107,3,0.75,0.75,0.01,6.0
108,3,0.75,0.75,0.05,5.0
109,3,0.75,0.75,0.1,5.0
110,3,0.75,0.75,0.25,4.0
111,3,0.75,0.75,0.5,4.0
112,3,0.75,0.75,0.75,4.0
