simple-spread-chance,organizing-capacity,organizing-strategy,ba-m,peak time
0.01,1,high-degree-media,3,
0.01,5,high-degree-media,3,
0.01,5,neighbors-of-neighbors,3,
0.01,5,neighbors-of-neighbors,10,522.3333333333334
0.01,10,high-degree-citizens,3,212.33333333333331
0.01,10,high-degree-citizens,10,338.0
0.01,10,high-degree-media,3,870.3333333333333
0.01,10,neighbors-of-neighbors,3,116.91666666666667
0.01,10,neighbors-of-neighbors,10,310.25
0.05,1,high-degree-cit-and-media,3,265.60818713450294
0.05,1,high-degree-cit-and-media,10,327.9047619047619
0.05,1,high-degree-citizens,3,507.50735294117646
0.05,1,high-degree-citizens,10,304.11857707509887
0.05,1,high-degree-media,3,414.6198830409357
0.05,1,high-degree-media,10,513.3866995073892
0.05,1,neighbors-of-neighbors,3,268.67733990147786
0.05,1,neighbors-of-neighbors,10,263.1502463054187
0.05,5,high-degree-cit-and-media,3,611.3552631578947
0.05,5,high-degree-cit-and-media,10,347.375
0.05,5,high-degree-citizens,3,547.8701298701299
0.05,5,high-degree-citizens,10,236.8181818181818
0.05,5,high-degree-media,3,569.6198830409356
0.05,5,high-degree-media,10,382.70935960591135
0.05,5,neighbors-of-neighbors,3,154.0270935960591
0.05,5,neighbors-of-neighbors,10,46.59852216748768
0.05,10,high-degree-cit-and-media,3,590.7233333333332
0.05,10,high-degree-cit-and-media,10,189.69000000000003
0.05,10,high-degree-citizens,3,358.69000000000005
0.05,10,high-degree-citizens,10,227.46195652173913
0.05,10,high-degree-media,3,535.6096866096866
0.05,10,high-degree-media,10,331.20105820105823
0.05,10,neighbors-of-neighbors,3,139.83743842364532
0.05,10,neighbors-of-neighbors,10,35.68472906403941
0.1,1,high-degree-cit-and-media,3,368.427536231884
0.1,1,high-degree-cit-and-media,10,303.24999999999994
0.1,1,high-degree-citizens,3,375.80999999999995
0.1,1,high-degree-citizens,10,39.47101449275362
0.1,1,high-degree-media,3,667.8260869565217
0.1,1,high-degree-media,10,296.0579710144928
0.1,1,neighbors-of-neighbors,3,124.84333333333332
0.1,1,neighbors-of-neighbors,10,63.33333333333332
0.1,5,high-degree-cit-and-media,3,442.33333333333326
0.1,5,high-degree-cit-and-media,10,147.66666666666669
0.1,5,high-degree-citizens,3,283.24333333333334
0.1,5,high-degree-citizens,10,79.08999999999999
0.1,5,high-degree-media,3,484.35999999999996
0.1,5,high-degree-media,10,198.49
0.1,5,neighbors-of-neighbors,3,43.75
0.1,5,neighbors-of-neighbors,10,30.659999999999997
0.1,10,high-degree-cit-and-media,3,267.0
0.1,10,high-degree-cit-and-media,10,164.58333333333337
0.1,10,high-degree-citizens,3,90.32333333333332
0.1,10,high-degree-citizens,10,275.0066666666667
0.1,10,high-degree-media,3,288.89
0.1,10,high-degree-media,10,286.56
0.1,10,neighbors-of-neighbors,3,78.64333333333333
0.1,10,neighbors-of-neighbors,10,16.176666666666666
0.25,1,high-degree-cit-and-media,3,87.50999999999999
0.25,1,high-degree-cit-and-media,10,32.44
0.25,1,high-degree-citizens,3,111.93999999999998
0.25,1,high-degree-citizens,10,46.893333333333324
0.25,1,high-degree-media,3,59.29333333333333
0.25,1,high-degree-media,10,100.07666666666665
0.25,1,neighbors-of-neighbors,3,30.833333333333332
0.25,1,neighbors-of-neighbors,10,29.416666666666668
0.25,5,high-degree-cit-and-media,3,100.72333333333334
0.25,5,high-degree-cit-and-media,10,10.743333333333332
0.25,5,high-degree-citizens,3,78.14333333333333
0.25,5,high-degree-citizens,10,41.41666666666667
0.25,5,high-degree-media,3,16.343333333333334
0.25,5,high-degree-media,10,20.226666666666667
0.25,5,neighbors-of-neighbors,3,12.760000000000003
0.25,5,neighbors-of-neighbors,10,5.989999999999999
0.25,10,high-degree-cit-and-media,3,75.24999999999999
0.25,10,high-degree-cit-and-media,10,20.583333333333332
0.25,10,high-degree-citizens,3,22.97666666666667
0.25,10,high-degree-citizens,10,21.843333333333334
0.25,10,high-degree-media,3,146.16
0.25,10,high-degree-media,10,48.55666666666667
0.25,10,neighbors-of-neighbors,3,9.34
0.25,10,neighbors-of-neighbors,10,4.223333333333334
0.5,1,high-degree-cit-and-media,3,37.29
0.5,1,high-degree-cit-and-media,10,71.02666666666669
0.5,1,high-degree-citizens,3,86.91666666666667
0.5,1,high-degree-citizens,10,43.666666666666664
0.5,1,high-degree-media,3,12.94
0.5,1,high-degree-media,10,9.243333333333332
0.5,1,neighbors-of-neighbors,3,10.71
0.5,1,neighbors-of-neighbors,10,12.64
0.5,5,high-degree-cit-and-media,3,21.310000000000002
0.5,5,high-degree-cit-and-media,10,4.943333333333333
0.5,5,high-degree-citizens,3,15.60666666666667
