simple-spread-chance,citizen-media-influence,citizen-citizen-influence,ba-m,peak time
0.01,0.01,0.75,10,
0.01,0.05,0.75,10,
0.01,0.1,0.75,10,84.5
0.01,0.25,0.75,3,
0.01,0.25,0.75,10,42.0
0.01,0.5,0.75,3,8.0
0.01,0.5,0.75,10,424.4230769230769
0.01,0.75,0.75,3,
0.01,0.75,0.75,10,327.2666666666666
0.05,0.01,0.25,3,
0.05,0.01,0.25,10,647.9502164502164
0.05,0.01,0.5,3,339.7368421052632
0.05,0.01,0.5,10,294.71146245059293
0.05,0.01,0.75,3,576.8225108225108
0.05,0.01,0.75,10,329.01976284584975
0.05,0.05,0.05,10,
0.05,0.05,0.1,3,
0.05,0.05,0.1,10,237.58333333333334
0.05,0.05,0.25,3,314.6287878787879
0.05,0.05,0.25,10,385.75714285714287
0.05,0.05,0.5,3,608.691699604743
0.05,0.05,0.5,10,296.5
0.05,0.05,0.75,3,349.27536231884056
0.05,0.05,0.75,10,350.20108695652175
0.05,0.1,0.01,10,120.33333333333334
0.05,0.1,0.05,3,578.0
0.05,0.1,0.05,10,1043.3000000000002
0.05,0.1,0.1,3,715.5714285714286
0.05,0.1,0.1,10,693.6176470588235
0.05,0.1,0.25,3,677.6043956043957
0.05,0.1,0.25,10,185.0790513833992
0.05,0.1,0.5,3,554.16
0.05,0.1,0.5,10,117.90579710144928
0.05,0.1,0.75,3,210.49999999999997
0.05,0.1,0.75,10,308.1666666666667
0.05,0.25,0.01,3,
0.05,0.25,0.01,10,
0.05,0.25,0.05,3,1437.0545454545456
0.05,0.25,0.05,10,519.1052631578947
0.05,0.25,0.1,3,411.0
0.05,0.25,0.1,10,442.6666666666667
0.05,0.25,0.25,3,480.927536231884
0.05,0.25,0.25,10,262.67588932806325
0.05,0.25,0.5,3,382.0
0.05,0.25,0.5,10,108.33333333333333
0.05,0.25,0.75,3,169.54333333333335
0.05,0.25,0.75,10,204.64
0.05,0.5,0.01,3,896.5636363636364
0.05,0.5,0.01,10,1203.4
0.05,0.5,0.05,3,593.4199134199133
0.05,0.5,0.05,10,544.39
0.05,0.5,0.1,3,672.1449275362319
0.05,0.5,0.1,10,289.9710144927536
0.05,0.5,0.25,3,427.0833333333333
0.05,0.5,0.25,10,79.20666666666666
0.05,0.5,0.5,3,197.34
0.05,0.5,0.5,10,132.84333333333333
0.05,0.5,0.75,3,87.91666666666667
0.05,0.5,0.75,10,35.583333333333336
0.05,0.75,0.01,3,607.2380952380951
0.05,0.75,0.01,10,865.8394736842106
0.05,0.75,0.05,3,480.3188405797102
0.05,0.75,0.05,10,562.5233333333333
0.05,0.75,0.1,3,360.3433333333333
0.05,0.75,0.1,10,273.97333333333336
0.05,0.75,0.25,3,157.74999999999997
0.05,0.75,0.25,10,153.70666666666668
0.05,0.75,0.5,3,226.0
0.05,0.75,0.5,10,72.85666666666667
