simple-spread-chance,organizing-capacity,organizing-strategy,ba-m,peak time
0.01,5,high-degree-cit-and-media,3,83.0
0.01,5,high-degree-media,3,83.0
0.01,10,high-degree-cit-and-media,3,52.0
0.01,10,high-degree-citizens,3,56.2
0.01,10,high-degree-citizens,10,46.5
0.01,10,high-degree-media,3,76.0
0.05,1,high-degree-cit-and-media,3,51.578947368421055
0.05,1,high-degree-cit-and-media,10,34.78260869565217
0.05,1,high-degree-citizens,3,53.523809523809526
0.05,1,high-degree-citizens,10,33.64
0.05,1,high-degree-media,3,55.13333333333333
0.05,1,high-degree-media,10,29.916666666666668
0.05,1,neighbors-of-neighbors,3,46.8235294117647
0.05,1,neighbors-of-neighbors,10,29.28
0.05,5,high-degree-cit-and-media,3,58.54545454545455
0.05,5,high-degree-cit-and-media,10,33.541666666666664
0.05,5,high-degree-citizens,3,41.6
0.05,5,high-degree-citizens,10,30.84
0.05,5,high-degree-media,3,53.82608695652174
0.05,5,high-degree-media,10,31.92
0.05,5,neighbors-of-neighbors,3,52.16
0.05,5,neighbors-of-neighbors,10,28.28
0.05,10,high-degree-cit-and-media,3,50.04
0.05,10,high-degree-cit-and-media,10,31.84
0.05,10,high-degree-citizens,3,40.84
0.05,10,high-degree-citizens,10,25.36
0.05,10,high-degree-media,3,54.791666666666664
0.05,10,high-degree-media,10,27.0
0.05,10,neighbors-of-neighbors,3,36.4
0.05,10,neighbors-of-neighbors,10,25.56
