simple-spread-chance,organizing-capacity,organizing-strategy,ba-m,peak time avg,peak time var,peak time count
0.05,5,neighbors-of-neighbors,3,52.16,560.7233333,25
0.05,10,high-degree-cit-and-media,3,50.04,456.4566667,25
0.05,5,high-degree-citizens,3,41.6,552,25
0.05,10,high-degree-citizens,3,40.84,424.14,25
0.05,10,neighbors-of-neighbors,3,36.4,314.8333333,25
0.05,1,high-degree-citizens,10,33.64,309.49,25
0.05,5,high-degree-media,10,31.92,167.2433333,25
0.05,10,high-degree-cit-and-media,10,31.84,197.5566667,25
0.05,5,high-degree-citizens,10,30.84,461.64,25
0.05,1,neighbors-of-neighbors,10,29.28,173.5433333,25
0.05,5,neighbors-of-neighbors,10,28.28,193.96,25
0.05,10,high-degree-media,10,27,121.5,25
0.05,10,neighbors-of-neighbors,10,25.56,116.9233333,25
0.05,10,high-degree-citizens,10,25.36,97.24,25
0.05,10,high-degree-media,3,54.79166667,763.3025362,24
0.05,5,high-degree-cit-and-media,10,33.54166667,314.7807971,24
0.05,1,high-degree-media,10,29.91666667,339.9057971,24
0.05,5,high-degree-media,3,53.82608696,567.8774704,23
0.05,1,high-degree-cit-and-media,10,34.7826087,247.1778656,23
0.05,5,high-degree-cit-and-media,3,58.54545455,652.3549784,22
0.05,1,high-degree-citizens,3,53.52380952,674.6619048,21
0.05,1,high-degree-cit-and-media,3,51.57894737,830.2573099,19
0.05,1,neighbors-of-neighbors,3,46.82352941,515.4044118,17
0.05,1,high-degree-media,3,55.13333333,744.4095238,15
0.01,10,high-degree-citizens,3,56.2,69.2,5
0.01,10,high-degree-cit-and-media,3,52,617.5,5
0.01,5,high-degree-media,3,83,722,2
0.01,10,high-degree-citizens,10,46.5,1404.5,2
0.01,5,high-degree-cit-and-media,3,83,,1
0.01,10,high-degree-media,3,76,,1
