simple-spread-chance,organizing-capacity,organizing-strategy,ba-m,peak time
0.01,5,high-degree-cit-and-media,3,
0.01,5,high-degree-media,3,722.0
0.01,10,high-degree-cit-and-media,3,617.5
0.01,10,high-degree-citizens,3,69.2
0.01,10,high-degree-citizens,10,1404.5
0.01,10,high-degree-media,3,
0.05,1,high-degree-cit-and-media,3,830.2573099415205
0.05,1,high-degree-cit-and-media,10,247.17786561264822
0.05,1,high-degree-citizens,3,674.6619047619047
0.05,1,high-degree-citizens,10,309.49
0.05,1,high-degree-media,3,744.4095238095236
0.05,1,high-degree-media,10,339.90579710144925
0.05,1,neighbors-of-neighbors,3,515.404411764706
0.05,1,neighbors-of-neighbors,10,173.54333333333332
0.05,5,high-degree-cit-and-media,3,652.3549783549782
0.05,5,high-degree-cit-and-media,10,314.78079710144925
0.05,5,high-degree-citizens,3,552.0
0.05,5,high-degree-citizens,10,461.64000000000004
0.05,5,high-degree-media,3,567.8774703557312
0.05,5,high-degree-media,10,167.2433333333333
0.05,5,neighbors-of-neighbors,3,560.7233333333332
0.05,5,neighbors-of-neighbors,10,193.96000000000004
0.05,10,high-degree-cit-and-media,3,456.4566666666667
0.05,10,high-degree-cit-and-media,10,197.5566666666667
0.05,10,high-degree-citizens,3,424.13999999999993
0.05,10,high-degree-citizens,10,97.24000000000001
0.05,10,high-degree-media,3,763.3025362318841
0.05,10,high-degree-media,10,121.5
0.05,10,neighbors-of-neighbors,3,314.8333333333333
0.05,10,neighbors-of-neighbors,10,116.92333333333333
