simple-spread-chance,citizen-media-influence,citizen-citizen-influence,ba-m,peak time
0.01,0.01,0.25,3,1
0.01,0.01,0.75,10,1
0.01,0.05,0.5,3,1
0.01,0.05,0.75,10,2
0.01,0.1,0.1,3,2
0.01,0.1,0.75,3,1
0.01,0.1,0.75,10,2
0.01,0.25,0.01,3,1
0.01,0.25,0.05,3,1
0.01,0.25,0.1,3,1
0.01,0.25,0.25,3,2
0.01,0.25,0.75,3,1
0.01,0.25,0.75,10,4
0.01,0.5,0.01,3,2
0.01,0.5,0.25,3,2
0.01,0.5,0.5,3,2
0.01,0.5,0.75,3,2
0.01,0.5,0.75,10,7
0.01,0.75,0.05,3,2
0.01,0.75,0.25,3,2
0.01,0.75,0.5,3,5
0.01,0.75,0.5,10,1
0.01,0.75,0.75,3,5
0.01,0.75,0.75,10,18
0.05,0.01,0.01,10,1
0.05,0.01,0.05,3,1
0.05,0.01,0.05,10,1
0.05,0.01,0.1,3,1
0.05,0.01,0.1,10,3
0.05,0.01,0.25,3,5
0.05,0.01,0.25,10,20
0.05,0.01,0.5,3,19
0.05,0.01,0.5,10,21
0.05,0.01,0.75,3,25
0.05,0.01,0.75,10,22
0.05,0.05,0.01,3,3
0.05,0.05,0.01,10,4
0.05,0.05,0.05,3,3
0.05,0.05,0.05,10,3
0.05,0.05,0.1,3,7
0.05,0.05,0.1,10,7
0.05,0.05,0.25,3,14
0.05,0.05,0.25,10,25
0.05,0.05,0.5,3,25
0.05,0.05,0.5,10,24
0.05,0.05,0.75,3,24
0.05,0.05,0.75,10,25
0.05,0.1,0.01,3,5
0.05,0.1,0.01,10,4
0.05,0.1,0.05,3,9
0.05,0.1,0.05,10,6
0.05,0.1,0.1,3,7
0.05,0.1,0.1,10,18
0.05,0.1,0.25,3,19
0.05,0.1,0.25,10,25
0.05,0.1,0.5,3,24
0.05,0.1,0.5,10,25
0.05,0.1,0.75,3,25
0.05,0.1,0.75,10,25
0.05,0.25,0.01,3,9
0.05,0.25,0.01,10,10
0.05,0.25,0.05,3,15
0.05,0.25,0.05,10,19
0.05,0.25,0.1,3,19
0.05,0.25,0.1,10,25
0.05,0.25,0.25,3,25
0.05,0.25,0.25,10,25
0.05,0.25,0.5,3,25
0.05,0.25,0.5,10,25
0.05,0.25,0.75,3,25
0.05,0.25,0.75,10,25
0.05,0.5,0.01,3,10
0.05,0.5,0.01,10,22
0.05,0.5,0.05,3,22
0.05,0.5,0.05,10,25
0.05,0.5,0.1,3,22
0.05,0.5,0.1,10,25
0.05,0.5,0.25,3,25
0.05,0.5,0.25,10,25
0.05,0.5,0.5,3,25
0.05,0.5,0.5,10,25
0.05,0.5,0.75,3,25
0.05,0.5,0.75,10,25
0.05,0.75,0.01,3,17
0.05,0.75,0.01,10,17
0.05,0.75,0.05,3,24
0.05,0.75,0.05,10,25
0.05,0.75,0.1,3,25
0.05,0.75,0.1,10,25
0.05,0.75,0.25,3,25
0.05,0.75,0.25,10,25
0.05,0.75,0.5,3,25
0.05,0.75,0.5,10,25
0.05,0.75,0.75,3,25
0.05,0.75,0.75,10,25
