simple-spread-chance,citizen-media-influence,citizen-citizen-influence,ba-m,peak time
0.01,0.01,0.25,3,
0.01,0.01,0.75,10,
0.01,0.05,0.5,3,
0.01,0.05,0.75,10,128.0
0.01,0.1,0.1,3,288.0
0.01,0.1,0.75,3,
0.01,0.1,0.75,10,84.5
0.01,0.25,0.01,3,
0.01,0.25,0.05,3,
0.01,0.25,0.1,3,
0.01,0.25,0.25,3,60.5
0.01,0.25,0.75,3,
0.01,0.25,0.75,10,1506.6666666666667
0.01,0.5,0.01,3,2380.5
0.01,0.5,0.25,3,60.5
0.01,0.5,0.5,3,0.5
0.01,0.5,0.75,3,312.5
0.01,0.5,0.75,10,854.6190476190474
0.01,0.75,0.05,3,24.5
0.01,0.75,0.25,3,242.0
0.01,0.75,0.5,3,1821.2000000000003
0.01,0.75,0.5,10,
0.01,0.75,0.75,3,591.5
0.01,0.75,0.75,10,360.2352941176471
0.05,0.01,0.01,10,
0.05,0.01,0.05,3,
0.05,0.01,0.05,10,
0.05,0.01,0.1,3,
0.05,0.01,0.1,10,7.0
0.05,0.01,0.25,3,930.3
0.05,0.01,0.25,10,558.9473684210526
0.05,0.01,0.5,3,419.5380116959065
0.05,0.01,0.5,10,56.347619047619034
0.05,0.01,0.75,3,320.8233333333333
0.05,0.01,0.75,10,321.6363636363636
0.05,0.05,0.01,3,277.3333333333333
0.05,0.05,0.01,10,547.6666666666666
0.05,0.05,0.05,3,214.33333333333334
0.05,0.05,0.05,10,199.0
0.05,0.05,0.1,3,30.14285714285714
0.05,0.05,0.1,10,817.3333333333334
0.05,0.05,0.25,3,800.4230769230769
0.05,0.05,0.25,10,358.9266666666667
0.05,0.05,0.5,3,413.21000000000004
0.05,0.05,0.5,10,431.60688405797106
0.05,0.05,0.75,3,255.29710144927535
0.05,0.05,0.75,10,63.856666666666676
0.05,0.1,0.01,3,954.1999999999999
0.05,0.1,0.01,10,689.5833333333334
0.05,0.1,0.05,3,571.9444444444445
0.05,0.1,0.05,10,370.6666666666667
0.05,0.1,0.1,3,635.2380952380952
0.05,0.1,0.1,10,608.1470588235294
0.05,0.1,0.25,3,634.1637426900584
0.05,0.1,0.25,10,337.50666666666666
0.05,0.1,0.5,3,355.27536231884056
0.05,0.1,0.5,10,401.3333333333333
0.05,0.1,0.75,3,214.84
0.05,0.1,0.75,10,176.20666666666668
0.05,0.25,0.01,3,671.75
0.05,0.25,0.01,10,1221.6555555555558
0.05,0.25,0.05,3,880.0666666666666
0.05,0.25,0.05,10,937.760233918129
0.05,0.25,0.1,3,1020.374269005848
0.05,0.25,0.1,10,415.6933333333333
0.05,0.25,0.25,3,693.6933333333333
0.05,0.25,0.25,10,425.8733333333334
0.05,0.25,0.5,3,459.03999999999996
0.05,0.25,0.5,10,83.17333333333333
0.05,0.25,0.75,3,238.5
0.05,0.25,0.75,10,43.123333333333335
0.05,0.5,0.01,3,718.0
0.05,0.5,0.01,10,762.3311688311687
0.05,0.5,0.05,3,1071.9567099567098
0.05,0.5,0.05,10,823.0099999999999
0.05,0.5,0.1,3,745.5151515151516
0.05,0.5,0.1,10,321.69
0.05,0.5,0.25,3,447.0833333333333
0.05,0.5,0.25,10,126.77666666666666
0.05,0.5,0.5,3,210.45666666666668
0.05,0.5,0.5,10,46.97333333333333
0.05,0.5,0.75,3,138.10999999999999
0.05,0.5,0.75,10,51.34
0.05,0.75,0.01,3,850.1176470588235
0.05,0.75,0.01,10,955.8161764705883
0.05,0.75,0.05,3,1162.7807971014495
0.05,0.75,0.05,10,328.82666666666665
0.05,0.75,0.1,3,715.8333333333334
0.05,0.75,0.1,10,192.94333333333336
0.05,0.75,0.25,3,453.47666666666663
0.05,0.75,0.25,10,89.54333333333334
0.05,0.75,0.5,3,214.69333333333336
0.05,0.75,0.5,10,42.02333333333333
0.05,0.75,0.75,3,69.02666666666667
0.05,0.75,0.75,10,35.50666666666666
