Week,Data
4/27/2014,0
5/4/2014,0
5/11/2014,1
5/18/2014,0
5/25/2014,0
6/1/2014,1
6/8/2014,0
6/15/2014,0
6/22/2014,0
6/29/2014,1
7/6/2014,1
7/13/2014,0
7/20/2014,0
7/27/2014,1
8/3/2014,0
8/10/2014,0
8/17/2014,1
8/24/2014,0
8/31/2014,0
9/7/2014,1
9/14/2014,0
9/21/2014,1
9/28/2014,0
10/5/2014,0
10/12/2014,1
10/19/2014,1
10/26/2014,0
11/2/2014,0
11/9/2014,0
11/16/2014,0
11/23/2014,0
11/30/2014,0
12/7/2014,0
12/14/2014,0
12/21/2014,0
12/28/2014,0
1/4/2015,1
1/11/2015,0
1/18/2015,1
1/25/2015,1
2/1/2015,1
2/8/2015,0
2/15/2015,1
2/22/2015,0
3/1/2015,0
3/8/2015,1
3/15/2015,1
3/22/2015,0
3/29/2015,0
4/5/2015,0
4/12/2015,0
4/19/2015,1
4/26/2015,0
5/3/2015,0
5/10/2015,0
5/17/2015,1
5/24/2015,1
5/31/2015,1
6/7/2015,1
6/14/2015,1
6/21/2015,1
6/28/2015,1
7/5/2015,1
7/12/2015,1
7/19/2015,1
7/26/2015,1
8/2/2015,1
8/9/2015,0
8/16/2015,1
8/23/2015,0
8/30/2015,1
9/6/2015,0
9/13/2015,0
9/20/2015,1
9/27/2015,1
10/4/2015,3
10/11/2015,1
10/18/2015,1
10/25/2015,1
11/1/2015,1
11/8/2015,1
11/15/2015,1
11/22/2015,0
11/29/2015,0
12/6/2015,0
12/13/2015,4
12/20/2015,3
12/27/2015,2
1/3/2016,9
1/10/2016,23
1/17/2016,100
1/24/2016,57
1/31/2016,38
2/7/2016,27
2/14/2016,14
2/21/2016,12
2/28/2016,13
3/6/2016,19
3/13/2016,15
3/20/2016,9
3/27/2016,7
4/3/2016,7
4/10/2016,7
4/17/2016,11
4/24/2016,9
5/1/2016,9
5/8/2016,6
5/15/2016,5
5/22/2016,3
5/29/2016,3
6/5/2016,3
6/12/2016,3
6/19/2016,3
6/26/2016,3
