,ba-m,simple-spread-chance,citizen-citizen-influence,citizen-media-influence,threshold
0,3,0.01,0.01,0.01,0
1,3,0.01,0.01,0.05,0
2,3,0.01,0.01,0.1,0
3,3,0.01,0.01,0.25,0
4,3,0.01,0.01,0.5,0
5,3,0.01,0.01,0.75,0
6,3,0.01,0.05,0.01,0
7,3,0.01,0.05,0.05,0
8,3,0.01,0.05,0.1,0
9,3,0.01,0.05,0.25,0
10,3,0.01,0.05,0.5,0
11,3,0.01,0.05,0.75,0
12,3,0.01,0.1,0.01,0
13,3,0.01,0.1,0.05,0
14,3,0.01,0.1,0.1,0
15,3,0.01,0.1,0.25,0
16,3,0.01,0.1,0.5,0
17,3,0.01,0.1,0.75,0
18,3,0.01,0.25,0.01,0
19,3,0.01,0.25,0.05,0
20,3,0.01,0.25,0.1,0
21,3,0.01,0.25,0.25,0
22,3,0.01,0.25,0.5,0
23,3,0.01,0.25,0.75,0
24,3,0.01,0.5,0.01,0
25,3,0.01,0.5,0.05,0
26,3,0.01,0.5,0.1,0
27,3,0.01,0.5,0.25,0
28,3,0.01,0.5,0.5,0
29,3,0.01,0.5,0.75,0
30,3,0.01,0.75,0.01,0
31,3,0.01,0.75,0.05,0
32,3,0.01,0.75,0.1,0
33,3,0.01,0.75,0.25,0
34,3,0.01,0.75,0.5,0
35,3,0.01,0.75,0.75,0
36,3,0.05,0.01,0.01,0
37,3,0.05,0.01,0.05,0
38,3,0.05,0.01,0.1,0
39,3,0.05,0.01,0.25,0
40,3,0.05,0.01,0.5,0
41,3,0.05,0.01,0.75,0
42,3,0.05,0.05,0.01,0
43,3,0.05,0.05,0.05,0
44,3,0.05,0.05,0.1,0
45,3,0.05,0.05,0.25,0
46,3,0.05,0.05,0.5,0
47,3,0.05,0.05,0.75,3
48,3,0.05,0.1,0.01,0
49,3,0.05,0.1,0.05,0
50,3,0.05,0.1,0.1,0
51,3,0.05,0.1,0.25,0
52,3,0.05,0.1,0.5,3
53,3,0.05,0.1,0.75,8
54,3,0.05,0.25,0.01,0
55,3,0.05,0.25,0.05,0
56,3,0.05,0.25,0.1,0
57,3,0.05,0.25,0.25,0
58,3,0.05,0.25,0.5,14
59,3,0.05,0.25,0.75,25
60,3,0.05,0.5,0.01,0
61,3,0.05,0.5,0.05,0
62,3,0.05,0.5,0.1,0
63,3,0.05,0.5,0.25,13
64,3,0.05,0.5,0.5,24
65,3,0.05,0.5,0.75,25
66,3,0.05,0.75,0.01,0
67,3,0.05,0.75,0.05,0
68,3,0.05,0.75,0.1,1
69,3,0.05,0.75,0.25,21
70,3,0.05,0.75,0.5,25
71,3,0.05,0.75,0.75,25
72,3,0.1,0.01,0.01,0
73,3,0.1,0.01,0.05,0
74,3,0.1,0.01,0.1,0
75,3,0.1,0.01,0.25,0
76,3,0.1,0.01,0.5,3
77,3,0.1,0.01,0.75,3
