,ba-m,simple-spread-chance,citizen-citizen-influence,citizen-media-influence,threshold
0,3,0.01,0.01,0.01,0
1,3,0.01,0.01,0.05,0
2,3,0.01,0.01,0.1,0
3,3,0.01,0.01,0.25,0
4,3,0.01,0.01,0.5,0
5,3,0.01,0.01,0.75,0
6,3,0.01,0.05,0.01,0
7,3,0.01,0.05,0.05,0
8,3,0.01,0.05,0.1,0
9,3,0.01,0.05,0.25,0
10,3,0.01,0.05,0.5,0
11,3,0.01,0.05,0.75,0
12,3,0.01,0.1,0.01,0
13,3,0.01,0.1,0.05,0
14,3,0.01,0.1,0.1,0
15,3,0.01,0.1,0.25,0
16,3,0.01,0.1,0.5,0
17,3,0.01,0.1,0.75,0
18,3,0.01,0.25,0.01,0
19,3,0.01,0.25,0.05,0
20,3,0.01,0.25,0.1,0
21,3,0.01,0.25,0.25,0
22,3,0.01,0.25,0.5,0
23,3,0.01,0.25,0.75,0
24,3,0.01,0.5,0.01,0
25,3,0.01,0.5,0.05,0
26,3,0.01,0.5,0.1,0
27,3,0.01,0.5,0.25,0
28,3,0.01,0.5,0.5,0
29,3,0.01,0.5,0.75,0
30,3,0.01,0.75,0.01,0
31,3,0.01,0.75,0.05,0
32,3,0.01,0.75,0.1,0
33,3,0.01,0.75,0.25,0
34,3,0.01,0.75,0.5,0
35,3,0.01,0.75,0.75,0
36,3,0.05,0.01,0.01,0
37,3,0.05,0.01,0.05,2
38,3,0.05,0.01,0.1,1
39,3,0.05,0.01,0.25,5
40,3,0.05,0.01,0.5,6
41,3,0.05,0.01,0.75,6
42,3,0.05,0.05,0.01,1
43,3,0.05,0.05,0.05,2
44,3,0.05,0.05,0.1,6
45,3,0.05,0.05,0.25,4
46,3,0.05,0.05,0.5,5
47,3,0.05,0.05,0.75,8
48,3,0.05,0.1,0.01,0
49,3,0.05,0.1,0.05,1
50,3,0.05,0.1,0.1,3
51,3,0.05,0.1,0.25,6
52,3,0.05,0.1,0.5,10
53,3,0.05,0.1,0.75,10
54,3,0.05,0.25,0.01,2
55,3,0.05,0.25,0.05,5
56,3,0.05,0.25,0.1,5
57,3,0.05,0.25,0.25,6
58,3,0.05,0.25,0.5,20
59,3,0.05,0.25,0.75,22
60,3,0.05,0.5,0.01,3
61,3,0.05,0.5,0.05,7
62,3,0.05,0.5,0.1,6
63,3,0.05,0.5,0.25,13
64,3,0.05,0.5,0.5,24
65,3,0.05,0.5,0.75,25
66,3,0.05,0.75,0.01,6
67,3,0.05,0.75,0.05,6
68,3,0.05,0.75,0.1,6
69,3,0.05,0.75,0.25,24
70,3,0.05,0.75,0.5,25
71,3,0.05,0.75,0.75,25
72,10,0.01,0.01,0.01,0
73,10,0.01,0.01,0.05,0
74,10,0.01,0.01,0.1,0
75,10,0.01,0.01,0.25,0
76,10,0.01,0.01,0.5,0
77,10,0.01,0.01,0.75,0
78,10,0.01,0.05,0.01,0
79,10,0.01,0.05,0.05,0
80,10,0.01,0.05,0.1,0
81,10,0.01,0.05,0.25,0
82,10,0.01,0.05,0.5,0
83,10,0.01,0.05,0.75,0
84,10,0.01,0.1,0.01,0
85,10,0.01,0.1,0.05,0
86,10,0.01,0.1,0.1,0
87,10,0.01,0.1,0.25,0
88,10,0.01,0.1,0.5,0
89,10,0.01,0.1,0.75,0
90,10,0.01,0.25,0.01,0
91,10,0.01,0.25,0.05,0
92,10,0.01,0.25,0.1,0
93,10,0.01,0.25,0.25,0
94,10,0.01,0.25,0.5,0
95,10,0.01,0.25,0.75,0
96,10,0.01,0.5,0.01,0
97,10,0.01,0.5,0.05,0
98,10,0.01,0.5,0.1,0
99,10,0.01,0.5,0.25,0
100,10,0.01,0.5,0.5,0
101,10,0.01,0.5,0.75,0
102,10,0.01,0.75,0.01,0
103,10,0.01,0.75,0.05,0
104,10,0.01,0.75,0.1,0
105,10,0.01,0.75,0.25,0
106,10,0.01,0.75,0.5,0
107,10,0.01,0.75,0.75,0
108,10,0.05,0.01,0.01,0
109,10,0.05,0.01,0.05,0
110,10,0.05,0.01,0.1,0
111,10,0.05,0.01,0.25,0
112,10,0.05,0.01,0.5,0
113,10,0.05,0.01,0.75,0
114,10,0.05,0.05,0.01,0
115,10,0.05,0.05,0.05,0
116,10,0.05,0.05,0.1,0
117,10,0.05,0.05,0.25,0
118,10,0.05,0.05,0.5,0
119,10,0.05,0.05,0.75,0
120,10,0.05,0.1,0.01,0
121,10,0.05,0.1,0.05,0
122,10,0.05,0.1,0.1,0
123,10,0.05,0.1,0.25,0
124,10,0.05,0.1,0.5,0
125,10,0.05,0.1,0.75,0
126,10,0.05,0.25,0.01,0
127,10,0.05,0.25,0.05,0
128,10,0.05,0.25,0.1,0
129,10,0.05,0.25,0.25,0
130,10,0.05,0.25,0.5,0
131,10,0.05,0.25,0.75,0
132,10,0.05,0.5,0.01,0
133,10,0.05,0.5,0.05,0
134,10,0.05,0.5,0.1,0
135,10,0.05,0.5,0.25,0
136,10,0.05,0.5,0.5,0
137,10,0.05,0.5,0.75,0
138,10,0.05,0.75,0.01,0
139,10,0.05,0.75,0.05,0
140,10,0.05,0.75,0.1,0
141,10,0.05,0.75,0.25,0
142,10,0.05,0.75,0.5,0
143,10,0.05,0.75,0.75,0
