,ba-m,simple-spread-chance,citizen-citizen-influence,citizen-media-influence,peak-time
0,1,0.01,1,1,34.5
1,1,0.05,1,1,26.0
2,1,0.1,1,1,27.5
3,1,0.25,1,1,7.0
4,1,0.5,1,1,4.0
5,1,0.75,1,1,5.0
6,2,0.01,1,1,87.0
7,2,0.05,1,1,41.0
8,2,0.1,1,1,16.5
9,2,0.25,1,1,8.0
10,2,0.5,1,1,5.0
11,2,0.75,1,1,4.0
12,3,0.01,1,1,86.0
13,3,0.05,1,1,29.0
14,3,0.1,1,1,15.0
15,3,0.25,1,1,7.0
16,3,0.5,1,1,4.0
17,3,0.75,1,1,4.0
18,5,0.01,1,1,84.0
19,5,0.05,1,1,20.0
20,5,0.1,1,1,12.0
21,5,0.25,1,1,6.0
22,5,0.5,1,1,4.0
23,5,0.75,1,1,3.0
24,10,0.01,1,1,68.5
25,10,0.05,1,1,18.0
26,10,0.1,1,1,11.0
27,10,0.25,1,1,5.0
28,10,0.5,1,1,4.0
29,10,0.75,1,1,3.0
30,20,0.01,1,1,49.0
31,20,0.05,1,1,8.0
32,20,0.1,1,1,7.0
33,20,0.25,1,1,3.0
34,20,0.5,1,1,3.0
35,20,0.75,1,1,2.0
36,50,0.01,1,1,13.0
37,50,0.05,1,1,5.0
38,50,0.1,1,1,2.0
39,50,0.25,1,1,1.0
40,50,0.5,1,1,1.0
41,50,0.75,1,1,1.0
