,ba-m,simple-spread-chance,citizen-citizen-influence,citizen-media-influence,peak-time
0,3,0.01,0.01,0.01,75
1,3,0.01,0.01,0.05,74
2,3,0.01,0.01,0.1,55
3,3,0.01,0.01,0.25,54
4,3,0.01,0.01,0.5,58
5,3,0.01,0.01,0.75,51
6,3,0.01,0.05,0.01,51
7,3,0.01,0.05,0.05,56
8,3,0.01,0.05,0.1,50.5
9,3,0.01,0.05,0.25,60
10,3,0.01,0.05,0.5,59
11,3,0.01,0.05,0.75,55.5
12,3,0.01,0.1,0.01,41
13,3,0.01,0.1,0.05,51.5
14,3,0.01,0.1,0.1,63
15,3,0.01,0.1,0.25,52.5
16,3,0.01,0.1,0.5,58.5
17,3,0.01,0.1,0.75,59
18,3,0.01,0.25,0.01,34
19,3,0.01,0.25,0.05,54
20,3,0.01,0.25,0.1,47
21,3,0.01,0.25,0.25,66
22,3,0.01,0.25,0.5,68.5
23,3,0.01,0.25,0.75,72
24,3,0.01,0.5,0.01,52
25,3,0.01,0.5,0.05,45
26,3,0.01,0.5,0.1,58.5
27,3,0.01,0.5,0.25,79.5
28,3,0.01,0.5,0.5,79.5
29,3,0.01,0.5,0.75,88
30,3,0.01,0.75,0.01,59
31,3,0.01,0.75,0.05,65
32,3,0.01,0.75,0.1,69
33,3,0.01,0.75,0.25,85
34,3,0.01,0.75,0.5,82.5
35,3,0.01,0.75,0.75,86
36,3,0.05,0.01,0.01,42.5
37,3,0.05,0.01,0.05,63
38,3,0.05,0.01,0.1,58
39,3,0.05,0.01,0.25,54
40,3,0.05,0.01,0.5,56
41,3,0.05,0.01,0.75,59.5
42,3,0.05,0.05,0.01,56.5
43,3,0.05,0.05,0.05,61
44,3,0.05,0.05,0.1,72
45,3,0.05,0.05,0.25,83
46,3,0.05,0.05,0.5,81
47,3,0.05,0.05,0.75,81
48,3,0.05,0.1,0.01,52
49,3,0.05,0.1,0.05,75
50,3,0.05,0.1,0.1,82.5
51,3,0.05,0.1,0.25,82.5
52,3,0.05,0.1,0.5,77
53,3,0.05,0.1,0.75,65.5
54,3,0.05,0.25,0.01,62
55,3,0.05,0.25,0.05,85
56,3,0.05,0.25,0.1,80.5
57,3,0.05,0.25,0.25,75
58,3,0.05,0.25,0.5,60
59,3,0.05,0.25,0.75,42
60,3,0.05,0.5,0.01,65
61,3,0.05,0.5,0.05,68
62,3,0.05,0.5,0.1,59
63,3,0.05,0.5,0.25,48
64,3,0.05,0.5,0.5,38
65,3,0.05,0.5,0.75,30.5
66,3,0.05,0.75,0.01,51
67,3,0.05,0.75,0.05,51
68,3,0.05,0.75,0.1,47
69,3,0.05,0.75,0.25,35
70,3,0.05,0.75,0.5,38
71,3,0.05,0.75,0.75,29
72,3,0.1,0.01,0.01,53
73,3,0.1,0.01,0.05,53
74,3,0.1,0.01,0.1,68
75,3,0.1,0.01,0.25,65
76,3,0.1,0.01,0.5,71
77,3,0.1,0.01,0.75,56.5
78,3,0.1,0.05,0.01,56
79,3,0.1,0.05,0.05,80
80,3,0.1,0.05,0.1,79.5
81,3,0.1,0.05,0.25,66
82,3,0.1,0.05,0.5,51
83,3,0.1,0.05,0.75,46.5
84,3,0.1,0.1,0.01,72.5
85,3,0.1,0.1,0.05,77.5
86,3,0.1,0.1,0.1,73
87,3,0.1,0.1,0.25,54
88,3,0.1,0.1,0.5,38
89,3,0.1,0.1,0.75,36
90,3,0.1,0.25,0.01,66.5
91,3,0.1,0.25,0.05,45
92,3,0.1,0.25,0.1,43.5
93,3,0.1,0.25,0.25,32
94,3,0.1,0.25,0.5,29
95,3,0.1,0.25,0.75,25
96,3,0.1,0.5,0.01,51.5
97,3,0.1,0.5,0.05,29
98,3,0.1,0.5,0.1,30
99,3,0.1,0.5,0.25,27
100,3,0.1,0.5,0.5,21
101,3,0.1,0.5,0.75,18
102,3,0.1,0.75,0.01,30
103,3,0.1,0.75,0.05,23
104,3,0.1,0.75,0.1,25
105,3,0.1,0.75,0.25,23
106,3,0.1,0.75,0.5,20
107,3,0.1,0.75,0.75,17
108,3,0.25,0.01,0.01,61.5
109,3,0.25,0.01,0.05,74
110,3,0.25,0.01,0.1,63
111,3,0.25,0.01,0.25,50
112,3,0.25,0.01,0.5,43
113,3,0.25,0.01,0.75,41.5
114,3,0.25,0.05,0.01,64.5
115,3,0.25,0.05,0.05,45
116,3,0.25,0.05,0.1,40.5
117,3,0.25,0.05,0.25,26
118,3,0.25,0.05,0.5,24
119,3,0.25,0.05,0.75,18
120,3,0.25,0.1,0.01,46
121,3,0.25,0.1,0.05,35
122,3,0.25,0.1,0.1,30
123,3,0.25,0.1,0.25,22
124,3,0.25,0.1,0.5,17
125,3,0.25,0.1,0.75,17
126,3,0.25,0.25,0.01,40
127,3,0.25,0.25,0.05,27.5
128,3,0.25,0.25,0.1,16
129,3,0.25,0.25,0.25,14
130,3,0.25,0.25,0.5,13
131,3,0.25,0.25,0.75,12
132,3,0.25,0.5,0.01,14
133,3,0.25,0.5,0.05,13.5
134,3,0.25,0.5,0.1,13
135,3,0.25,0.5,0.25,9
136,3,0.25,0.5,0.5,9
137,3,0.25,0.5,0.75,10
138,3,0.25,0.75,0.01,17
139,3,0.25,0.75,0.05,10
140,3,0.25,0.75,0.1,10
141,3,0.25,0.75,0.25,10
142,3,0.25,0.75,0.5,8
143,3,0.25,0.75,0.75,7
144,3,0.5,0.01,0.01,68.5
145,3,0.5,0.01,0.05,44
146,3,0.5,0.01,0.1,39.5
147,3,0.5,0.01,0.25,26
148,3,0.5,0.01,0.5,21
149,3,0.5,0.01,0.75,18
150,3,0.5,0.05,0.01,39.5
151,3,0.5,0.05,0.05,26
152,3,0.5,0.05,0.1,17
153,3,0.5,0.05,0.25,13
154,3,0.5,0.05,0.5,12
155,3,0.5,0.05,0.75,10
156,3,0.5,0.1,0.01,29
157,3,0.5,0.1,0.05,19.5
158,3,0.5,0.1,0.1,16
159,3,0.5,0.1,0.25,12
160,3,0.5,0.1,0.5,9
161,3,0.5,0.1,0.75,8
162,3,0.5,0.25,0.01,12
163,3,0.5,0.25,0.05,12
164,3,0.5,0.25,0.1,9
165,3,0.5,0.25,0.25,9
166,3,0.5,0.25,0.5,8
167,3,0.5,0.25,0.75,7
168,3,0.5,0.5,0.01,10.5
169,3,0.5,0.5,0.05,9
170,3,0.5,0.5,0.1,9
171,3,0.5,0.5,0.25,6
172,3,0.5,0.5,0.5,6
173,3,0.5,0.5,0.75,6
174,3,0.5,0.75,0.01,8.5
175,3,0.5,0.75,0.05,6
176,3,0.5,0.75,0.1,6.5
177,3,0.5,0.75,0.25,5
178,3,0.5,0.75,0.5,5
179,3,0.5,0.75,0.75,5
180,3,0.75,0.01,0.01,46
181,3,0.75,0.01,0.05,23
182,3,0.75,0.01,0.1,23
183,3,0.75,0.01,0.25,17.5
184,3,0.75,0.01,0.5,14
185,3,0.75,0.01,0.75,11
186,3,0.75,0.05,0.01,27
187,3,0.75,0.05,0.05,16
188,3,0.75,0.05,0.1,14
189,3,0.75,0.05,0.25,10
190,3,0.75,0.05,0.5,8
191,3,0.75,0.05,0.75,7
192,3,0.75,0.1,0.01,22
193,3,0.75,0.1,0.05,13
194,3,0.75,0.1,0.1,11
195,3,0.75,0.1,0.25,8
196,3,0.75,0.1,0.5,7
197,3,0.75,0.1,0.75,6
198,3,0.75,0.25,0.01,15
199,3,0.75,0.25,0.05,9
200,3,0.75,0.25,0.1,7
201,3,0.75,0.25,0.25,6
202,3,0.75,0.25,0.5,6
203,3,0.75,0.25,0.75,5
204,3,0.75,0.5,0.01,5
205,3,0.75,0.5,0.05,5
206,3,0.75,0.5,0.1,7
207,3,0.75,0.5,0.25,4
208,3,0.75,0.5,0.5,4
209,3,0.75,0.5,0.75,5
210,3,0.75,0.75,0.01,4
211,3,0.75,0.75,0.05,5
212,3,0.75,0.75,0.1,5
213,3,0.75,0.75,0.25,4
214,3,0.75,0.75,0.5,4
215,3,0.75,0.75,0.75,4
216,10,0.01,0.01,0.01,76
217,10,0.01,0.01,0.05,51
218,10,0.01,0.01,0.1,69
219,10,0.01,0.01,0.25,59
220,10,0.01,0.01,0.5,64.5
221,10,0.01,0.01,0.75,60
222,10,0.01,0.05,0.01,45
223,10,0.01,0.05,0.05,52
224,10,0.01,0.05,0.1,65
