,ba-m,simple-spread-chance,citizen-citizen-influence,citizen-media-influence,peak-time
0,3,0.05,0.01,0.5,51.5
1,3,0.05,0.01,0.75,47.5
2,3,0.05,0.05,0.5,72.0
3,3,0.05,0.05,0.75,62.0
4,3,0.05,0.1,0.25,77.0
5,3,0.05,0.1,0.5,61.0
6,3,0.05,0.1,0.75,51.0
7,3,0.05,0.25,0.25,58.0
8,3,0.05,0.25,0.5,47.0
9,3,0.05,0.25,0.75,40.0
10,3,0.05,0.5,0.1,46.0
11,3,0.05,0.5,0.25,40.5
12,3,0.05,0.5,0.5,34.0
13,3,0.05,0.5,0.75,29.0
14,3,0.05,0.75,0.05,35.0
15,3,0.05,0.75,0.1,34.0
16,3,0.05,0.75,0.25,31.0
17,3,0.05,0.75,0.5,28.0
18,3,0.05,0.75,0.75,25.0
19,3,0.1,0.01,0.25,59.5
20,3,0.1,0.01,0.5,48.0
21,3,0.1,0.01,0.75,39.5
22,3,0.1,0.05,0.25,54.0
23,3,0.1,0.05,0.5,41.0
24,3,0.1,0.05,0.75,38.0
25,3,0.1,0.1,0.1,62.5
26,3,0.1,0.1,0.25,43.5
27,3,0.1,0.1,0.5,36.0
28,3,0.1,0.1,0.75,28.5
29,3,0.1,0.25,0.05,45.0
30,3,0.1,0.25,0.1,38.5
31,3,0.1,0.25,0.25,32.0
32,3,0.1,0.25,0.5,25.0
33,3,0.1,0.25,0.75,23.0
34,3,0.1,0.5,0.01,29.0
35,3,0.1,0.5,0.05,28.0
36,3,0.1,0.5,0.1,25.0
37,3,0.1,0.5,0.25,22.0
38,3,0.1,0.5,0.5,19.0
39,3,0.1,0.5,0.75,17.0
40,3,0.1,0.75,0.01,21.0
41,3,0.1,0.75,0.05,19.0
42,3,0.1,0.75,0.1,19.0
43,3,0.1,0.75,0.25,18.0
44,3,0.1,0.75,0.5,15.0
45,3,0.1,0.75,0.75,14.0
46,3,0.25,0.01,0.05,67.0
47,3,0.25,0.01,0.1,57.0
48,3,0.25,0.01,0.25,43.0
49,3,0.25,0.01,0.5,27.5
50,3,0.25,0.01,0.75,26.0
51,3,0.25,0.05,0.05,46.0
52,3,0.25,0.05,0.1,35.0
53,3,0.25,0.05,0.25,25.5
54,3,0.25,0.05,0.5,20.0
55,3,0.25,0.05,0.75,17.0
56,3,0.25,0.1,0.01,46.0
57,3,0.25,0.1,0.05,34.0
58,3,0.25,0.1,0.1,26.0
59,3,0.25,0.1,0.25,20.0
60,3,0.25,0.1,0.5,16.0
61,3,0.25,0.1,0.75,14.0
62,3,0.25,0.25,0.01,23.0
63,3,0.25,0.25,0.05,20.0
64,3,0.25,0.25,0.1,18.0
65,3,0.25,0.25,0.25,14.0
66,3,0.25,0.25,0.5,12.0
67,3,0.25,0.25,0.75,11.0
68,3,0.25,0.5,0.01,15.0
69,3,0.25,0.5,0.05,13.5
70,3,0.25,0.5,0.1,12.0
71,3,0.25,0.5,0.25,10.0
72,3,0.25,0.5,0.5,9.0
73,3,0.25,0.5,0.75,8.0
74,3,0.25,0.75,0.01,10.0
75,3,0.25,0.75,0.05,10.0
76,3,0.25,0.75,0.1,10.0
77,3,0.25,0.75,0.25,8.0
78,3,0.25,0.75,0.5,8.0
79,3,0.25,0.75,0.75,7.0
80,3,0.5,0.01,0.05,42.0
81,3,0.5,0.01,0.1,29.0
82,3,0.5,0.01,0.25,21.0
83,3,0.5,0.01,0.5,16.0
84,3,0.5,0.01,0.75,15.0
85,3,0.5,0.05,0.01,36.0
86,3,0.5,0.05,0.05,23.0
87,3,0.5,0.05,0.1,18.0
88,3,0.5,0.05,0.25,14.5
89,3,0.5,0.05,0.5,11.0
90,3,0.5,0.05,0.75,10.0
91,3,0.5,0.1,0.01,26.0
92,3,0.5,0.1,0.05,16.5
93,3,0.5,0.1,0.1,15.0
94,3,0.5,0.1,0.25,11.0
95,3,0.5,0.1,0.5,9.0
96,3,0.5,0.1,0.75,8.0
97,3,0.5,0.25,0.01,14.0
98,3,0.5,0.25,0.05,11.0
99,3,0.5,0.25,0.1,10.0
100,3,0.5,0.25,0.25,8.0
101,3,0.5,0.25,0.5,7.0
